Year,Quarter,Airline,PaxToIndia,PaxFromIndia,FreightToIndia,FreightFromIndia
515.111,635.8,AIR CANADA,35027,22,2,54209
525.361,668.09,AIR CANADA,35486,23,3,36976
565.927,1197.839,AIR CANADA,48518,17,4,44586
595.533,1282.874,AIR CANADA,57087,18,4,47396
638.577,728.43,AIR CANADA,37940,22,4,35294
742.553,438.039,AIR CANADA,14523,16,1,15304
745.307,659.41,AIR CANADA,33272,22,3,40055
783.578,970.337,AIR CANADA,53996,18,1,55872
85.535,138.909,AIR CANADA,3574,21,2,7806
97.802,127.596,AIR CANADA,2577,20,3,8072
112.008,197.372,AIR CHINA,4071,20,1,4567
186.132,227.211,AIR CHINA,5339,19,3,5212
207.362,445.154,AIR CHINA,10986,19,4,9754
251.39,402.144,AIR CHINA,7795,16,2,9602
252.166,566.589,AIR CHINA,17003,19,1,16851
261.275,394.797,AIR CHINA,7893,16,3,7389
293.61,260.614,AIR CHINA,7307,17,3,6668
297.051,342.453,AIR CHINA,7642,15,3,8123
310.162,573.392,AIR CHINA,12238,16,1,13436
381.57,381.502,AIR CHINA,15116,17,1,15332
397.488,453.645,AIR CHINA,13022,16,4,11461
398.427,435.124,AIR CHINA,11793,18,3,11263
399.626,477.459,AIR CHINA,11152,19,2,15286
408.367,517.64,AIR CHINA,15706,18,1,16643
414.49,382.372,AIR CHINA,6487,15,2,8503
429.217,542.521,AIR CHINA,13996,15,4,12235
464.305,533.647,AIR CHINA,15440,17,4,13620
485.985,460.555,AIR CHINA,9868,15,1,12419
520.519,460.568,AIR CHINA,17007,18,4,16191
539.554,327.274,AIR CHINA,7901,17,2,9535
625.634,420.656,AIR CHINA,9885,18,2,14053
1236.053,2270.662,AIR FRANCE,30139,15,3,34828
1575.305,2427.0666,AIR FRANCE,24630,20,4,17621
1646.836,2678.308,AIR FRANCE,34480,21,4,32506
1673.982,2258.779,AIR FRANCE,16366,21,3,33308
1699.234,3255.319,AIR FRANCE,50741,19,2,54694
1719.611,2401.753,AIR FRANCE,29028,22,1,35763
1746.492,2426.017,AIR FRANCE,55945,24,2,66818
1754.424,2792.932,AIR FRANCE,50272,17,3,52335
1797.858,3445.649,AIR FRANCE,40401,15,2,47829
1838.347,2977.651,AIR FRANCE,49203,18,3,51854
1846.181,2780.256,AIR FRANCE,19434,21,1,26320
1888.948,2248.525,AIR FRANCE,40949,16,3,39613
1989.411,3632.229,AIR FRANCE,73255,19,4,70360
2004.982,3923.381,AIR FRANCE,72322,19,3,75374
2066.63878,2491.60852,AIR FRANCE,60001,20,1,72718
2122.692,2677.969,AIR FRANCE,8708,21,2,28266
2130.506,2317.59,AIR FRANCE,35452,16,2,40859
2220.388,2714.261,AIR FRANCE,44695,17,2,48824
2300.568,3860.034,AIR FRANCE,53395,15,1,61867
2336.345,3575.419,AIR FRANCE,59658,15,4,58804
2369.38,3822.567,AIR FRANCE,87757,23,4,83195
2458.086,3785.716,AIR FRANCE,68767,18,4,65216
2591.148,3559.063,AIR FRANCE,68985,17,4,64814
2601.375,2995.105,AIR FRANCE,57183,22,2,62082
2640.974,3704.933,AIR FRANCE,80151,24,1,98092
2683.371,3631.931,AIR FRANCE,62624,16,4,60750
2687.421,3626.612,AIR FRANCE,72583,23,1,88049
2734.024,3556.936,AIR FRANCE,63449,18,1,70715
2810.327,3833.917,AIR FRANCE,67970,19,1,76176
2812.208,3283.483,AIR FRANCE,60177,16,1,63325
2927.964,3290.168,AIR FRANCE,61478,22,3,68778
3092.652,4366.004,AIR FRANCE,82390,22,4,82051
3188.3,4688.387,AIR FRANCE,72031,23,2,88474
3418.322,4568.976,AIR FRANCE,68968,23,3,84631
3528.315,3378.976,AIR FRANCE,67497,17,1,73342
3979.821,2780.265,AIR FRANCE,42516,18,2,46921
789.39393,1903.5634000000002,AIR FRANCE,15654,20,3,25185
10030.595799999997,15992.0138,AIR INDIA,957156,23,2,992067
10067.989099999999,16188.069,AIR INDIA,685269,22,2,728999
10292.202,14117.027,AIR INDIA,709825,15,1,770265
10545.705100000001,14824.1421,AIR INDIA,934133,22,4,876774
10567.479,15109.454,AIR INDIA,661148,15,2,721645
10580.765199999996,15985.320100000003,AIR INDIA,921847,23,1,990699
10626.299799999997,14763.782099999997,AIR INDIA,709129,16,3,712212
10810.861199999998,16458.940000000002,AIR INDIA,675334,16,2,723905
10842.595400000002,15406.643999999997,AIR INDIA,766188,22,3,842472
10966.929100000001,19737.582700000006,AIR INDIA,970423,23,3,1054179
11031.444599999999,14151.021,AIR INDIA,718245,16,1,773620
11233.419,13540.515,AIR INDIA,669558,15,3,703997
11326.271899999998,19063.345499999985,AIR INDIA,879104,19,3,888295
11386.318,14899.366,AIR INDIA,764458,15,4,650867
11874.7761,17616.5587,AIR INDIA,754819,17,3,761138
12276.953200000007,15522.015400000006,AIR INDIA,777528,16,4,648224
12529.019999999997,23664.00740000001,AIR INDIA,1150878,23,4,1064907
12779.6098,20714.863900000008,AIR INDIA,847901,19,1,904849
12980.888000000003,21639.1745,AIR INDIA,901080,19,2,907597
13048.558600000008,18780.93360000001,AIR INDIA,732189,17,1,790321
13097.494899999994,23631.525200000004,AIR INDIA,1157803,24,1,1185639
13165.844399999996,21365.442200000012,AIR INDIA,1022883,19,4,869053
13501.702000000001,20448.017800000005,AIR INDIA,743986,17,2,737127
13685.569099999997,19052.3613,AIR INDIA,842100,18,2,835726
14091.440300000006,23269.672799999997,AIR INDIA,1067028,24,2,1108824
14537.745800000004,17354.629899999993,AIR INDIA,866692,17,4,759194
14951.993899999994,16975.346299999997,AIR INDIA,827120,18,1,836080
15090.262400000001,20404.867699999984,AIR INDIA,759938,18,3,781022
15594.378499999999,22080.22930000001,AIR INDIA,931042,18,4,795039
2504.6991999999987,1401.2190000000003,AIR INDIA,93926,20,2,59307
2653.9871999999987,3555.509600000002,AIR INDIA,157845,20,3,129756
5548.686499999997,7520.739100000002,AIR INDIA,244030,20,4,182945
6259.3809,9950.395499999997,AIR INDIA,252706,21,3,254821
7403.488700000001,8238.0784,AIR INDIA,198001,21,2,170108
7491.792000000001,8701.918699999998,AIR INDIA,342658,21,1,308538
8896.013900000004,11302.4096,AIR INDIA,510672,21,4,507958
9157.652799999996,12764.726500000002,AIR INDIA,494445,22,1,571915
9647.545900000003,20193.5413,AIR INDIA,783053,20,1,783326
0,0,AIR INDIA EXPRESS,263463,15,1,330702
0,0,AIR INDIA EXPRESS,323837,15,2,347089
107.003,5192.723,AIR INDIA EXPRESS,490613,20,1,523187
117.19099999999999,3057.089,AIR INDIA EXPRESS,514907,18,2,492020
1182.044,4866.157,AIR INDIA EXPRESS,505551,22,2,501655
1232.333,4967.118,AIR INDIA EXPRESS,335712,22,1,439735
1322.911,4550.571,AIR INDIA EXPRESS,191700,21,2,85812
1372.396,4766.306,AIR INDIA EXPRESS,359588,21,4,448547
1384.467,5611.207,AIR INDIA EXPRESS,237873,21,3,174011
15.339,1076.544,AIR INDIA EXPRESS,61343,20,2,4781
156.088,3325.864,AIR INDIA EXPRESS,456432,17,3,502199
158.711,5514.901,AIR INDIA EXPRESS,607575,19,4,595449
159.99299999999997,3602.89,AIR INDIA EXPRESS,461894,18,3,520053
161.824,3336.172,AIR INDIA EXPRESS,280345,20,4,206800
168.326,4413.329,AIR INDIA EXPRESS,520529,18,4,504915
186.123,2869.693,AIR INDIA EXPRESS,471369,17,4,473708
207.917,4466.806,AIR INDIA EXPRESS,533760,19,1,600349
208.495,4614.357,AIR INDIA EXPRESS,457815,18,1,495135
223.124,6149.205,AIR INDIA EXPRESS,615971,23,2,599346
234.657,6265.807,AIR INDIA EXPRESS,542060,23,3,649935
242.918,5759.646,AIR INDIA EXPRESS,577823,19,3,599171
261.451,6349.727000000001,AIR INDIA EXPRESS,487210,22,4,509200
266.70899999999995,5204.346000000001,AIR INDIA EXPRESS,599310,23,4,625864
2689.918,7277.6295,AIR INDIA EXPRESS,741491,24,2,719843
274.96,5843.021,AIR INDIA EXPRESS,508335,23,1,614028
288.0*,2393.2*,AIR INDIA EXPRESS,405131,17,1,477456
316.515,5260.245,AIR INDIA EXPRESS,650252,19,2,602633
345.1*,2027.6*,AIR INDIA EXPRESS,411898,16,4,423284
345.108,2027.588,AIR INDIA EXPRESS,396577,16,3,442238
398.421,4037.743,AIR INDIA EXPRESS,322640,21,1,282959
403.067,2224.54,AIR INDIA EXPRESS,470311,17,2,429415
410.652,1616.68,AIR INDIA EXPRESS,373720,16,2,374221
46.409,1216.173,AIR INDIA EXPRESS,301875,16,1,351943
49.434,1261.899,AIR INDIA EXPRESS,320355,15,3,350163
54.336,7414.064000000001,AIR INDIA EXPRESS,436741,22,3,535366
